type,subnet,specifics,source,Destinations,Environments,Status,Sources
PolicyType.Reachability,2.1.2.2/32,0,as2border2,as2core2:Loopback0 (2.1.2.2/32),{9},PolicyStatus.HOLDS,as2border2
PolicyType.Isolation,2.1.3.1/32,0,as3border1,as2dist1:Loopback0 (2.1.3.1/32),{9},PolicyStatus.HOLDS,as3border1
PolicyType.Isolation,3.10.1.1/32,0,as2dist2,as3core1:Loopback0 (3.10.1.1/32),{9},PolicyStatus.HOLDS,as2dist2
PolicyType.Reachability,3.2.2.2/32,0,as3core1,as3border2:Loopback0 (3.2.2.2/32),{9},PolicyStatus.HOLDS,as3core1
PolicyType.Isolation,3.1.1.1/32,0,as2border2,as3border1:Loopback0 (3.1.1.1/32),{9},PolicyStatus.HOLDS,as2border2
PolicyType.Isolation,1.2.2.2/32,0,as3core1,as1border2:Loopback0 (1.2.2.2/32),{9},PolicyStatus.HOLDS,as3core1
PolicyType.Isolation,3.1.1.1/32,0,as1core1,as3border1:Loopback0 (3.1.1.1/32),{9},PolicyStatus.HOLDS,as1core1
PolicyType.Reachability,2.1.1.1/32,0,as2core2,as2border1:Loopback0 (2.1.1.1/32),{9},PolicyStatus.HOLDS,as2core2
PolicyType.LoadBalancingSimple,2.1.3.2/32,2,as2dist1,as2dist2:Loopback0 (2.1.3.2/32),{9},PolicyStatus.HOLDSNOT,as2dist1
PolicyType.Isolation,1.1.1.1/32,0,as2dept1,as1border1:Loopback0 (1.1.1.1/32),{9},PolicyStatus.HOLDS,as2dept1
PolicyType.Waypoint,10.14.22.0/24,as1core1,as1border1,as1border2:GigabitEthernet2/0 (10.14.22.0/24),{9},PolicyStatus.HOLDS,as1border1
PolicyType.Waypoint,1.2.2.2/32,as1core1,as1border1,as1border2:Loopback0 (1.2.2.2/32),{9},PolicyStatus.HOLDS,as1border1
PolicyType.Reachability,10.14.22.0/24,0,as1border1,as1border2:GigabitEthernet2/0 (10.14.22.0/24),{9},PolicyStatus.HOLDS,as1border1
PolicyType.Waypoint,3.2.2.2/32,as3border1,as3border1,as3border2:Loopback0 (3.2.2.2/32),{9},PolicyStatus.HOLDS,as3border1
PolicyType.Reachability,2.1.3.1/32,0,as2border1,as2dist1:Loopback0 (2.1.3.1/32),{9},PolicyStatus.HOLDS,as2border1
PolicyType.Waypoint,2.1.3.1/32,as2dist2,as2dist2,as2dist1:Loopback0 (2.1.3.1/32),{9},PolicyStatus.HOLDS,as2dist2
PolicyType.Reachability,1.1.1.1/32,0,as1core1,as1border1:Loopback0 (1.1.1.1/32),{9},PolicyStatus.HOLDS,as1core1
PolicyType.Isolation,1.10.1.1/32,0,as3core1,as1core1:Loopback0 (1.10.1.1/32),{9},PolicyStatus.HOLDS,as3core1
PolicyType.Isolation,1.10.1.1/32,0,as2dist1,as1core1:Loopback0 (1.10.1.1/32),{9},PolicyStatus.HOLDS,as2dist1
PolicyType.Reachability,2.128.1.0/24,0,as2core1,as2dept1:GigabitEthernet3/0 (2.128.1.0/24),{9},PolicyStatus.HOLDS,as2core1
PolicyType.Reachability,2.1.2.1/32,0,as2core2,as2core1:Loopback0 (2.1.2.1/32),{9},PolicyStatus.HOLDS,as2core2
PolicyType.Waypoint,2.128.0.0/24,as3border1,as3border1,as2dept1:GigabitEthernet2/0 (2.128.0.0/24),{9},PolicyStatus.HOLDS,as3border1
PolicyType.Waypoint,1.2.2.2/32,as1core1,as1core1,as1border2:Loopback0 (1.2.2.2/32),{9},PolicyStatus.HOLDS,as1core1
PolicyType.Isolation,10.14.22.0/24,0,as2core2,as1border2:GigabitEthernet2/0 (10.14.22.0/24),{9},PolicyStatus.HOLDS,as2core2
PolicyType.Isolation,10.14.22.0/24,0,as2border1,as1border2:GigabitEthernet2/0 (10.14.22.0/24),{9},PolicyStatus.HOLDS,as2border1
PolicyType.Isolation,1.10.1.1/32,0,as3border1,as1core1:Loopback0 (1.10.1.1/32),{9},PolicyStatus.HOLDS,as3border1
PolicyType.Isolation,2.1.2.2/32,0,as1border1,as2core2:Loopback0 (2.1.2.2/32),{9},PolicyStatus.HOLDS,as1border1
PolicyType.Reachability,2.1.2.1/32,0,as2dist1,as2core1:Loopback0 (2.1.2.1/32),{9},PolicyStatus.HOLDS,as2dist1
PolicyType.Isolation,2.1.2.1/32,0,as2dept1,as2core1:Loopback0 (2.1.2.1/32),{9},PolicyStatus.HOLDS,as2dept1
PolicyType.Isolation,3.1.1.1/32,0,as2core1,as3border1:Loopback0 (3.1.1.1/32),{9},PolicyStatus.HOLDS,as2core1
PolicyType.Isolation,3.10.1.1/32,0,as2core1,as3core1:Loopback0 (3.10.1.1/32),{9},PolicyStatus.HOLDS,as2core1
PolicyType.Reachability,1.10.1.1/32,0,as1border1,as1core1:Loopback0 (1.10.1.1/32),{9},PolicyStatus.HOLDS,as1border1
PolicyType.Waypoint,2.1.3.2/32,as2dist2,as2dist1,as2dist2:Loopback0 (2.1.3.2/32),{9},PolicyStatus.HOLDS,as2dist1
PolicyType.Waypoint,2.128.0.0/24,as3border1,as3border2,as2dept1:GigabitEthernet2/0 (2.128.0.0/24),{9},PolicyStatus.HOLDS,as3border2
PolicyType.LoadBalancingSimple,2.128.0.0/24,2,as2border2,as2dept1:GigabitEthernet2/0 (2.128.0.0/24),{9},PolicyStatus.HOLDS,as2border2
PolicyType.Reachability,2.128.1.0/24,0,as1border2,as2dept1:GigabitEthernet3/0 (2.128.1.0/24),{9},PolicyStatus.HOLDS,as1border2
PolicyType.Isolation,3.2.2.2/32,0,as1border1,as3border2:Loopback0 (3.2.2.2/32),{9},PolicyStatus.HOLDS,as1border1
PolicyType.Reachability,2.128.1.0/24,0,as3border2,as2dept1:GigabitEthernet3/0 (2.128.1.0/24),{9},PolicyStatus.HOLDS,as3border2
PolicyType.Isolation,1.2.2.2/32,0,as2dist2,as1border2:Loopback0 (1.2.2.2/32),{9},PolicyStatus.HOLDS,as2dist2
PolicyType.Isolation,2.1.2.1/32,0,as3core1,as2core1:Loopback0 (2.1.2.1/32),{9},PolicyStatus.HOLDS,as3core1
PolicyType.Isolation,1.1.1.1/32,0,as3border2,as1border1:Loopback0 (1.1.1.1/32),{9},PolicyStatus.HOLDS,as3border2
PolicyType.LoadBalancingSimple,2.1.3.1/32,2,as2dist2,as2dist1:Loopback0 (2.1.3.1/32),{9},PolicyStatus.HOLDSNOT,as2dist2
PolicyType.Isolation,2.1.2.2/32,0,as2dept1,as2core2:Loopback0 (2.1.2.2/32),{9},PolicyStatus.HOLDS,as2dept1
PolicyType.Isolation,1.10.1.1/32,0,as2dept1,as1core1:Loopback0 (1.10.1.1/32),{9},PolicyStatus.HOLDS,as2dept1
PolicyType.Reachability,2.128.0.0/24,0,as2border2,as2dept1:GigabitEthernet2/0 (2.128.0.0/24),{9},PolicyStatus.HOLDS,as2border2
PolicyType.Waypoint,2.128.0.0/24,as2dist2,as2dist2,as2dept1:GigabitEthernet2/0 (2.128.0.0/24),{9},PolicyStatus.HOLDS,as2dist2
PolicyType.Waypoint,2.128.1.0/24,as1core1,as1core1,as2dept1:GigabitEthernet3/0 (2.128.1.0/24),{9},PolicyStatus.HOLDS,as1core1
PolicyType.Isolation,1.2.2.2/32,0,as2core1,as1border2:Loopback0 (1.2.2.2/32),{9},PolicyStatus.HOLDS,as2core1
PolicyType.Reachability,2.128.1.0/24,0,as3core1,as2dept1:GigabitEthernet3/0 (2.128.1.0/24),{9},PolicyStatus.HOLDS,as3core1
PolicyType.Isolation,3.10.1.1/32,0,as1border1,as3core1:Loopback0 (3.10.1.1/32),{9},PolicyStatus.HOLDS,as1border1
PolicyType.LoadBalancingSimple,2.128.1.0/24,2,as2border1,as2dept1:GigabitEthernet3/0 (2.128.1.0/24),{9},PolicyStatus.HOLDS,as2border1
PolicyType.LoadBalancingSimple,2.1.3.1/32,2,as2border1,as2dist1:Loopback0 (2.1.3.1/32),{9},PolicyStatus.HOLDS,as2border1
PolicyType.Reachability,1.2.2.2/32,0,as1border1,as1border2:Loopback0 (1.2.2.2/32),{9},PolicyStatus.HOLDS,as1border1
PolicyType.LoadBalancingSimple,2.128.1.0/24,2,as1core1,as2dept1:GigabitEthernet3/0 (2.128.1.0/24),{9},PolicyStatus.HOLDSNOT,as1core1
PolicyType.Isolation,1.2.2.2/32,0,as3border1,as1border2:Loopback0 (1.2.2.2/32),{9},PolicyStatus.HOLDS,as3border1
PolicyType.Isolation,2.1.1.1/32,0,as1border2,as2border1:Loopback0 (2.1.1.1/32),{9},PolicyStatus.HOLDS,as1border2
PolicyType.Isolation,1.1.1.1/32,0,as3core1,as1border1:Loopback0 (1.1.1.1/32),{9},PolicyStatus.HOLDS,as3core1
PolicyType.Isolation,1.2.2.2/32,0,as2border2,as1border2:Loopback0 (1.2.2.2/32),{9},PolicyStatus.HOLDS,as2border2
PolicyType.Reachability,3.10.1.1/32,0,as3border1,as3core1:Loopback0 (3.10.1.1/32),{9},PolicyStatus.HOLDS,as3border1
PolicyType.Reachability,2.1.3.2/32,0,as2core1,as2dist2:Loopback0 (2.1.3.2/32),{9},PolicyStatus.HOLDS,as2core1
PolicyType.Reachability,2.1.2.2/32,0,as2core1,as2core2:Loopback0 (2.1.2.2/32),{9},PolicyStatus.HOLDS,as2core1
PolicyType.Reachability,2.1.2.1/32,0,as2dist2,as2core1:Loopback0 (2.1.2.1/32),{9},PolicyStatus.HOLDS,as2dist2
PolicyType.Isolation,2.1.3.2/32,0,as3border1,as2dist2:Loopback0 (2.1.3.2/32),{9},PolicyStatus.HOLDS,as3border1
PolicyType.Waypoint,2.128.1.0/24,as3border1,as3core1,as2dept1:GigabitEthernet3/0 (2.128.1.0/24),{9},PolicyStatus.HOLDS,as3core1
PolicyType.Waypoint,2.128.0.0/24,as3border1,as3core1,as2dept1:GigabitEthernet2/0 (2.128.0.0/24),{9},PolicyStatus.HOLDS,as3core1
PolicyType.Isolation,10.14.22.0/24,0,as2dist2,as1border2:GigabitEthernet2/0 (10.14.22.0/24),{9},PolicyStatus.HOLDS,as2dist2
PolicyType.LoadBalancingSimple,2.128.0.0/24,2,as1border2,as2dept1:GigabitEthernet2/0 (2.128.0.0/24),{9},PolicyStatus.HOLDS,as1border2
PolicyType.Waypoint,3.1.1.1/32,as3border1,as3border2,as3border1:Loopback0 (3.1.1.1/32),{9},PolicyStatus.HOLDS,as3border2
PolicyType.Waypoint,3.10.1.1/32,as3border1,as3border1,as3core1:Loopback0 (3.10.1.1/32),{9},PolicyStatus.HOLDS,as3border1
PolicyType.Waypoint,2.128.1.0/24,as3border1,as3border2,as2dept1:GigabitEthernet3/0 (2.128.1.0/24),{9},PolicyStatus.HOLDS,as3border2
PolicyType.Isolation,3.1.1.1/32,0,as1border2,as3border1:Loopback0 (3.1.1.1/32),{9},PolicyStatus.HOLDS,as1border2
PolicyType.Isolation,2.1.3.2/32,0,as1border2,as2dist2:Loopback0 (2.1.3.2/32),{9},PolicyStatus.HOLDS,as1border2
PolicyType.Reachability,3.10.1.1/32,0,as3border2,as3core1:Loopback0 (3.10.1.1/32),{9},PolicyStatus.HOLDS,as3border2
PolicyType.Reachability,2.1.3.2/32,0,as2dist1,as2dist2:Loopback0 (2.1.3.2/32),{9},PolicyStatus.HOLDS,as2dist1
PolicyType.Waypoint,2.1.2.2/32,as2dist2,as2dist2,as2core2:Loopback0 (2.1.2.2/32),{9},PolicyStatus.HOLDS,as2dist2
PolicyType.Isolation,1.1.1.1/32,0,as2dist2,as1border1:Loopback0 (1.1.1.1/32),{9},PolicyStatus.HOLDS,as2dist2
PolicyType.Waypoint,1.10.1.1/32,as1core1,as1border1,as1core1:Loopback0 (1.10.1.1/32),{9},PolicyStatus.HOLDS,as1border1
PolicyType.LoadBalancingSimple,2.128.1.0/24,2,as3border1,as2dept1:GigabitEthernet3/0 (2.128.1.0/24),{9},PolicyStatus.HOLDSNOT,as3border1
PolicyType.Waypoint,2.128.1.0/24,as1core1,as1border2,as2dept1:GigabitEthernet3/0 (2.128.1.0/24),{9},PolicyStatus.HOLDS,as1border2
PolicyType.Reachability,2.128.1.0/24,0,as2dist2,as2dept1:GigabitEthernet3/0 (2.128.1.0/24),{9},PolicyStatus.HOLDS,as2dist2
PolicyType.Reachability,2.128.0.0/24,0,as1border2,as2dept1:GigabitEthernet2/0 (2.128.0.0/24),{9},PolicyStatus.HOLDS,as1border2
PolicyType.Isolation,10.14.22.0/24,0,as3core1,as1border2:GigabitEthernet2/0 (10.14.22.0/24),{9},PolicyStatus.HOLDS,as3core1
PolicyType.Isolation,10.14.22.0/24,0,as2dept1,as1border2:GigabitEthernet2/0 (10.14.22.0/24),{9},PolicyStatus.HOLDS,as2dept1
PolicyType.Waypoint,2.1.3.2/32,as2dist2,as2core2,as2dist2:Loopback0 (2.1.3.2/32),{9},PolicyStatus.HOLDS,as2core2
PolicyType.LoadBalancingSimple,2.128.0.0/24,2,as1border1,as2dept1:GigabitEthernet2/0 (2.128.0.0/24),{9},PolicyStatus.HOLDS,as1border1
PolicyType.Reachability,2.128.0.0/24,0,as2dist1,as2dept1:GigabitEthernet2/0 (2.128.0.0/24),{9},PolicyStatus.HOLDS,as2dist1
PolicyType.Isolation,2.1.3.2/32,0,as1core1,as2dist2:Loopback0 (2.1.3.2/32),{9},PolicyStatus.HOLDS,as1core1
PolicyType.Reachability,2.1.3.2/32,0,as2border1,as2dist2:Loopback0 (2.1.3.2/32),{9},PolicyStatus.HOLDS,as2border1
PolicyType.Isolation,2.1.2.2/32,0,as1core1,as2core2:Loopback0 (2.1.2.2/32),{9},PolicyStatus.HOLDS,as1core1
PolicyType.Waypoint,1.10.1.1/32,as1core1,as1border2,as1core1:Loopback0 (1.10.1.1/32),{9},PolicyStatus.HOLDS,as1border2
PolicyType.Isolation,3.2.2.2/32,0,as2core2,as3border2:Loopback0 (3.2.2.2/32),{9},PolicyStatus.HOLDS,as2core2
PolicyType.Isolation,2.1.2.1/32,0,as1core1,as2core1:Loopback0 (2.1.2.1/32),{9},PolicyStatus.HOLDS,as1core1
PolicyType.Isolation,10.14.22.0/24,0,as2core1,as1border2:GigabitEthernet2/0 (10.14.22.0/24),{9},PolicyStatus.HOLDS,as2core1
PolicyType.Isolation,3.2.2.2/32,0,as2dist1,as3border2:Loopback0 (3.2.2.2/32),{9},PolicyStatus.HOLDS,as2dist1
PolicyType.Isolation,1.10.1.1/32,0,as2border1,as1core1:Loopback0 (1.10.1.1/32),{9},PolicyStatus.HOLDS,as2border1
PolicyType.LoadBalancingSimple,2.128.0.0/24,2,as3core1,as2dept1:GigabitEthernet2/0 (2.128.0.0/24),{9},PolicyStatus.HOLDS,as3core1
PolicyType.Isolation,2.1.1.1/32,0,as3border1,as2border1:Loopback0 (2.1.1.1/32),{9},PolicyStatus.HOLDS,as3border1
PolicyType.Isolation,3.1.1.1/32,0,as2dist2,as3border1:Loopback0 (3.1.1.1/32),{9},PolicyStatus.HOLDS,as2dist2
PolicyType.Isolation,10.14.22.0/24,0,as3border1,as1border2:GigabitEthernet2/0 (10.14.22.0/24),{9},PolicyStatus.HOLDS,as3border1
PolicyType.Reachability,2.128.1.0/24,0,as2border1,as2dept1:GigabitEthernet3/0 (2.128.1.0/24),{9},PolicyStatus.HOLDS,as2border1
PolicyType.Isolation,3.1.1.1/32,0,as2dist1,as3border1:Loopback0 (3.1.1.1/32),{9},PolicyStatus.HOLDS,as2dist1
PolicyType.Isolation,3.10.1.1/32,0,as1border2,as3core1:Loopback0 (3.10.1.1/32),{9},PolicyStatus.HOLDS,as1border2
PolicyType.Reachability,2.1.1.1/32,0,as2core1,as2border1:Loopback0 (2.1.1.1/32),{9},PolicyStatus.HOLDS,as2core1
PolicyType.Isolation,2.1.3.1/32,0,as3border2,as2dist1:Loopback0 (2.1.3.1/32),{9},PolicyStatus.HOLDS,as3border2
PolicyType.Waypoint,3.1.1.1/32,as3border1,as3core1,as3border1:Loopback0 (3.1.1.1/32),{9},PolicyStatus.HOLDS,as3core1
PolicyType.Isolation,3.2.2.2/32,0,as1border2,as3border2:Loopback0 (3.2.2.2/32),{9},PolicyStatus.HOLDS,as1border2
PolicyType.LoadBalancingSimple,2.1.1.1/32,2,as2dist2,as2border1:Loopback0 (2.1.1.1/32),{9},PolicyStatus.HOLDSNOT,as2dist2
PolicyType.LoadBalancingSimple,2.1.2.1/32,4,as2core2,as2core1:Loopback0 (2.1.2.1/32),{9},PolicyStatus.HOLDS,as2core2
PolicyType.Reachability,2.1.3.2/32,0,as2border2,as2dist2:Loopback0 (2.1.3.2/32),{9},PolicyStatus.HOLDS,as2border2
PolicyType.Isolation,2.1.2.1/32,0,as3border1,as2core1:Loopback0 (2.1.2.1/32),{9},PolicyStatus.HOLDS,as3border1
PolicyType.Reachability,1.10.1.1/32,0,as1border2,as1core1:Loopback0 (1.10.1.1/32),{9},PolicyStatus.HOLDS,as1border2
PolicyType.Reachability,3.1.1.1/32,0,as3border2,as3border1:Loopback0 (3.1.1.1/32),{9},PolicyStatus.HOLDS,as3border2
PolicyType.Isolation,1.2.2.2/32,0,as2core2,as1border2:Loopback0 (1.2.2.2/32),{9},PolicyStatus.HOLDS,as2core2
PolicyType.Isolation,1.2.2.2/32,0,as2dept1,as1border2:Loopback0 (1.2.2.2/32),{9},PolicyStatus.HOLDS,as2dept1
