interface removed, generator,# affected nodes, solution, # reachable nodes, interface included, # interface exposed, # violated policies, # nodes exposed
as1border1:GigabitEthernet0/0, complete,15, base, 13, 1, 65, 60,13
as1border1:GigabitEthernet0/0, complete,15, crystal-net, 10, 0, 51, 58,10
as1border1:GigabitEthernet0/0, complete,15, empty, 0, 0, 0, 0,0
as1border1:GigabitEthernet0/0, complete,15, heimdall, 12, 0, 61, 60,12
as1border1:GigabitEthernet0/0, complete,15, heimdall_end_nodes, 12, 0, 61, 60,12
as1border1:GigabitEthernet0/0, complete,15, heimdall_interface, 35, 0, 34, 35,34
as1border1:GigabitEthernet0/0, complete,15, heimdall_intersect, 4, 0, 20, 32,4
as1border1:GigabitEthernet0/0, complete,15, heimdall_intersect2, 12, 0, 61, 60,12
as1border1:GigabitEthernet0/0, complete,15, heimdall_intersect3, 6, 0, 30, 42,6
as1border1:GigabitEthernet0/0, complete,15, heimdall_intersect4, 10, 0, 52, 57,10
as1border1:GigabitEthernet0/0, complete,15, neighbor, 8, 0, 41, 53,8
as1border1:GigabitEthernet0/0, random-2,2, base, 13, 1, 65, 60,13
as1border1:GigabitEthernet0/0, random-2,2, crystal-net, 2, 0, 9, 15,2
as1border1:GigabitEthernet0/0, random-2,2, empty, 0, 0, 0, 0,0
as1border1:GigabitEthernet0/0, random-2,2, heimdall, 11, 0, 56, 55,11
as1border1:GigabitEthernet0/0, random-2,2, heimdall_end_nodes, 6, 0, 29, 35,6
as1border1:GigabitEthernet0/0, random-2,2, heimdall_interface, 27, 0, 26, 35,26
as1border1:GigabitEthernet0/0, random-2,2, heimdall_intersect, 6, 0, 29, 35,6
as1border1:GigabitEthernet0/0, random-2,2, heimdall_intersect2, 6, 0, 29, 35,6
as1border1:GigabitEthernet0/0, random-2,2, neighbor, 2, 0, 9, 15,2
as1border1:GigabitEthernet1/0, complete,15, base, 13, 1, 65, 68,13
as1border1:GigabitEthernet1/0, complete,15, crystal-net, 11, 1, 55, 66,11
as1border1:GigabitEthernet1/0, complete,15, empty, 0, 0, 0, 0,0
as1border1:GigabitEthernet1/0, complete,15, heimdall, 13, 1, 65, 68,13
as1border1:GigabitEthernet1/0, complete,15, heimdall_end_nodes, 13, 1, 65, 68,13
as1border1:GigabitEthernet1/0, complete,15, heimdall_interface, 36, 0, 35, 43,35
as1border1:GigabitEthernet1/0, complete,15, heimdall_intersect, 4, 0, 20, 32,4
as1border1:GigabitEthernet1/0, complete,15, heimdall_intersect2, 13, 1, 65, 68,13
as1border1:GigabitEthernet1/0, complete,15, heimdall_intersect3, 6, 0, 30, 42,6
as1border1:GigabitEthernet1/0, complete,15, heimdall_intersect4, 10, 0, 52, 57,10
as1border1:GigabitEthernet1/0, complete,15, neighbor, 8, 0, 41, 61,8
as1border1:GigabitEthernet1/0, random-2,2, base, 13, 1, 65, 68,13
as1border1:GigabitEthernet1/0, random-2,2, crystal-net, 2, 0, 9, 23,2
as1border1:GigabitEthernet1/0, random-2,2, empty, 0, 0, 0, 0,0
as1border1:GigabitEthernet1/0, random-2,2, heimdall, 12, 1, 60, 63,12
as1border1:GigabitEthernet1/0, random-2,2, heimdall_end_nodes, 7, 1, 33, 43,7
as1border1:GigabitEthernet1/0, random-2,2, heimdall_interface, 28, 0, 27, 43,27
as1border1:GigabitEthernet1/0, random-2,2, heimdall_intersect, 7, 1, 33, 43,7
as1border1:GigabitEthernet1/0, random-2,2, heimdall_intersect2, 7, 1, 33, 43,7
as1border1:GigabitEthernet1/0, random-2,2, neighbor, 2, 0, 9, 23,2
as1border1:Loopback0, complete,15, base, 13, 1, 65, 60,13
as1border1:Loopback0, complete,15, crystal-net, 11, 1, 55, 58,11
as1border1:Loopback0, complete,15, empty, 0, 0, 0, 0,0
as1border1:Loopback0, complete,15, heimdall, 13, 1, 65, 60,13
as1border1:Loopback0, complete,15, heimdall_end_nodes, 13, 1, 65, 60,13
as1border1:Loopback0, complete,15, heimdall_interface, 38, 0, 37, 35,37
as1border1:Loopback0, complete,15, heimdall_intersect, 6, 1, 28, 35,6
as1border1:Loopback0, complete,15, heimdall_intersect2, 13, 1, 65, 60,13
as1border1:Loopback0, complete,15, heimdall_intersect3, 8, 1, 38, 45,8
as1border1:Loopback0, complete,15, heimdall_intersect4, 12, 1, 60, 60,12
as1border1:Loopback0, complete,15, neighbor, 8, 0, 41, 53,8
as1border1:Loopback0, random-2,2, base, 13, 1, 65, 60,13
as1border1:Loopback0, random-2,2, crystal-net, 2, 0, 9, 15,2
as1border1:Loopback0, random-2,2, empty, 0, 0, 0, 0,0
as1border1:Loopback0, random-2,2, heimdall, 12, 1, 60, 55,12
as1border1:Loopback0, random-2,2, heimdall_end_nodes, 7, 1, 33, 35,7
as1border1:Loopback0, random-2,2, heimdall_interface, 28, 0, 27, 35,27
as1border1:Loopback0, random-2,2, heimdall_intersect, 7, 1, 33, 35,7
as1border1:Loopback0, random-2,2, heimdall_intersect2, 7, 1, 33, 35,7
as1border1:Loopback0, random-2,2, neighbor, 2, 0, 9, 15,2
as1border2:GigabitEthernet0/0, complete,5, base, 13, 1, 65, 70,13
as1border2:GigabitEthernet0/0, complete,5, crystal-net, 6, 1, 27, 35,6
as1border2:GigabitEthernet0/0, complete,5, empty, 0, 0, 0, 0,0
as1border2:GigabitEthernet0/0, complete,5, heimdall, 13, 1, 65, 70,13
as1border2:GigabitEthernet0/0, complete,5, heimdall_end_nodes, 9, 1, 43, 50,9
as1border2:GigabitEthernet0/0, complete,5, heimdall_interface, 33, 0, 32, 45,32
as1border2:GigabitEthernet0/0, complete,5, heimdall_intersect, 0, 0, 0, 0,0
as1border2:GigabitEthernet0/0, complete,5, heimdall_intersect2, 9, 1, 43, 50,9
as1border2:GigabitEthernet0/0, complete,5, heimdall_intersect3, 9, 1, 43, 50,9
as1border2:GigabitEthernet0/0, complete,5, heimdall_intersect4, 9, 1, 43, 50,9
as1border2:GigabitEthernet0/0, complete,5, neighbor, 4, 1, 19, 31,4
as1border2:GigabitEthernet0/0, random-2,2, base, 13, 1, 65, 70,13
as1border2:GigabitEthernet0/0, random-2,2, crystal-net, 4, 1, 19, 29,4
as1border2:GigabitEthernet0/0, random-2,2, empty, 0, 0, 0, 0,0
as1border2:GigabitEthernet0/0, random-2,2, heimdall, 13, 1, 65, 70,13
as1border2:GigabitEthernet0/0, random-2,2, heimdall_end_nodes, 9, 1, 43, 50,9
as1border2:GigabitEthernet0/0, random-2,2, heimdall_interface, 33, 0, 32, 45,32
as1border2:GigabitEthernet0/0, random-2,2, heimdall_intersect, 1, 0, 6, 28,1
as1border2:GigabitEthernet0/0, random-2,2, heimdall_intersect2, 1, 0, 6, 28,1
as1border2:GigabitEthernet0/0, random-2,2, neighbor, 3, 1, 15, 27,3
as1border2:GigabitEthernet1/0, complete,5, base, 13, 1, 65, 59,13
as1border2:GigabitEthernet1/0, complete,5, crystal-net, 6, 1, 27, 24,6
as1border2:GigabitEthernet1/0, complete,5, empty, 0, 0, 0, 0,0
as1border2:GigabitEthernet1/0, complete,5, heimdall, 11, 1, 56, 54,11
as1border2:GigabitEthernet1/0, complete,5, heimdall_end_nodes, 7, 1, 34, 34,7
as1border2:GigabitEthernet1/0, complete,5, heimdall_interface, 25, 0, 24, 32,24
as1border2:GigabitEthernet1/0, complete,5, heimdall_intersect, 0, 0, 0, 0,0
as1border2:GigabitEthernet1/0, complete,5, heimdall_intersect2, 6, 1, 30, 32,6
as1border2:GigabitEthernet1/0, complete,5, heimdall_intersect3, 6, 1, 30, 32,6
as1border2:GigabitEthernet1/0, complete,5, heimdall_intersect4, 7, 1, 34, 34,7
as1border2:GigabitEthernet1/0, complete,5, neighbor, 4, 1, 19, 20,4
as1border2:GigabitEthernet1/0, random-2,2, base, 13, 1, 65, 59,13
as1border2:GigabitEthernet1/0, random-2,2, crystal-net, 4, 1, 19, 18,4
as1border2:GigabitEthernet1/0, random-2,2, empty, 0, 0, 0, 0,0
as1border2:GigabitEthernet1/0, random-2,2, heimdall, 10, 1, 52, 52,10
as1border2:GigabitEthernet1/0, random-2,2, heimdall_end_nodes, 6, 1, 30, 32,6
as1border2:GigabitEthernet1/0, random-2,2, heimdall_interface, 24, 0, 23, 32,23
as1border2:GigabitEthernet1/0, random-2,2, heimdall_intersect, 5, 1, 25, 32,5
as1border2:GigabitEthernet1/0, random-2,2, heimdall_intersect2, 5, 1, 25, 32,5
as1border2:GigabitEthernet1/0, random-2,2, neighbor, 3, 1, 15, 16,3
as1border2:GigabitEthernet2/0, complete,3, base, 13, 1, 65, 67,13
as1border2:GigabitEthernet2/0, complete,3, crystal-net, 4, 1, 17, 18,4
as1border2:GigabitEthernet2/0, complete,3, empty, 0, 0, 0, 0,0
as1border2:GigabitEthernet2/0, complete,3, heimdall, 12, 1, 60, 67,12
as1border2:GigabitEthernet2/0, complete,3, heimdall_end_nodes, 8, 1, 38, 47,8
as1border2:GigabitEthernet2/0, complete,3, heimdall_interface, 26, 0, 25, 35,25
as1border2:GigabitEthernet2/0, complete,3, heimdall_intersect, 0, 0, 0, 0,0
as1border2:GigabitEthernet2/0, complete,3, heimdall_intersect2, 8, 1, 38, 47,8
as1border2:GigabitEthernet2/0, complete,3, heimdall_intersect3, 8, 1, 38, 47,8
as1border2:GigabitEthernet2/0, complete,3, heimdall_intersect4, 8, 1, 38, 47,8
as1border2:GigabitEthernet2/0, complete,3, neighbor, 3, 1, 13, 18,3
as1border2:GigabitEthernet2/0, random-2,2, base, 13, 1, 65, 67,13
as1border2:GigabitEthernet2/0, random-2,2, crystal-net, 2, 1, 9, 14,2
as1border2:GigabitEthernet2/0, random-2,2, empty, 0, 0, 0, 0,0
as1border2:GigabitEthernet2/0, random-2,2, heimdall, 12, 1, 60, 67,12
as1border2:GigabitEthernet2/0, random-2,2, heimdall_end_nodes, 8, 1, 38, 47,8
as1border2:GigabitEthernet2/0, random-2,2, heimdall_interface, 26, 0, 25, 35,25
as1border2:GigabitEthernet2/0, random-2,2, heimdall_intersect, 0, 0, 0, 0,0
as1border2:GigabitEthernet2/0, random-2,2, heimdall_intersect2, 0, 0, 0, 0,0
as1border2:GigabitEthernet2/0, random-2,2, neighbor, 2, 1, 9, 14,2
as1border2:Loopback0, complete,3, base, 13, 1, 65, 65,13
as1border2:Loopback0, complete,3, crystal-net, 4, 1, 17, 22,4
as1border2:Loopback0, complete,3, empty, 0, 0, 0, 0,0
as1border2:Loopback0, complete,3, heimdall, 13, 1, 65, 65,13
as1border2:Loopback0, complete,3, heimdall_end_nodes, 8, 1, 38, 45,8
as1border2:Loopback0, complete,3, heimdall_interface, 30, 0, 29, 40,29
as1border2:Loopback0, complete,3, heimdall_intersect, 8, 1, 38, 45,8
as1border2:Loopback0, complete,3, heimdall_intersect2, 8, 1, 38, 45,8
as1border2:Loopback0, complete,3, heimdall_intersect3, 8, 1, 38, 45,8
as1border2:Loopback0, complete,3, heimdall_intersect4, 8, 1, 38, 45,8
as1border2:Loopback0, complete,3, neighbor, 3, 1, 13, 20,3
as1border2:Loopback0, random-2,2, base, 13, 1, 65, 65,13
as1border2:Loopback0, random-2,2, crystal-net, 2, 1, 9, 16,2
as1border2:Loopback0, random-2,2, empty, 0, 0, 0, 0,0
as1border2:Loopback0, random-2,2, heimdall, 13, 1, 65, 65,13
as1border2:Loopback0, random-2,2, heimdall_end_nodes, 8, 1, 38, 45,8
as1border2:Loopback0, random-2,2, heimdall_interface, 30, 0, 29, 40,29
as1border2:Loopback0, random-2,2, heimdall_intersect, 8, 1, 38, 45,8
as1border2:Loopback0, random-2,2, heimdall_intersect2, 8, 1, 38, 45,8
as1border2:Loopback0, random-2,2, neighbor, 2, 1, 9, 16,2
as1core1:GigabitEthernet0/0, complete,17, base, 13, 1, 65, 59,13
as1core1:GigabitEthernet0/0, complete,17, crystal-net, 11, 0, 57, 57,11
as1core1:GigabitEthernet0/0, complete,17, empty, 0, 0, 0, 0,0
as1core1:GigabitEthernet0/0, complete,17, heimdall, 13, 1, 65, 59,13
as1core1:GigabitEthernet0/0, complete,17, heimdall_end_nodes, 13, 1, 65, 59,13
as1core1:GigabitEthernet0/0, complete,17, heimdall_interface, 37, 0, 36, 34,36
as1core1:GigabitEthernet0/0, complete,17, heimdall_intersect, 4, 0, 20, 32,4
as1core1:GigabitEthernet0/0, complete,17, heimdall_intersect2, 13, 1, 65, 59,13
as1core1:GigabitEthernet0/0, complete,17, heimdall_intersect3, 9, 1, 43, 44,9
as1core1:GigabitEthernet0/0, complete,17, heimdall_intersect4, 13, 1, 65, 59,13
as1core1:GigabitEthernet0/0, complete,17, neighbor, 8, 0, 43, 52,8
as1core1:GigabitEthernet0/0, random-2,2, base, 13, 1, 65, 59,13
as1core1:GigabitEthernet0/0, random-2,2, crystal-net, 2, 0, 9, 10,2
as1core1:GigabitEthernet0/0, random-2,2, empty, 0, 0, 0, 0,0
as1core1:GigabitEthernet0/0, random-2,2, heimdall, 10, 0, 52, 52,10
as1core1:GigabitEthernet0/0, random-2,2, heimdall_end_nodes, 5, 0, 25, 32,5
as1core1:GigabitEthernet0/0, random-2,2, heimdall_interface, 25, 0, 24, 32,24
as1core1:GigabitEthernet0/0, random-2,2, heimdall_intersect, 5, 0, 25, 32,5
as1core1:GigabitEthernet0/0, random-2,2, heimdall_intersect2, 5, 0, 25, 32,5
as1core1:GigabitEthernet0/0, random-2,2, neighbor, 2, 0, 9, 10,2
as1core1:GigabitEthernet1/0, complete,17, base, 13, 1, 65, 60,13
as1core1:GigabitEthernet1/0, complete,17, crystal-net, 12, 1, 61, 60,12
as1core1:GigabitEthernet1/0, complete,17, empty, 0, 0, 0, 0,0
as1core1:GigabitEthernet1/0, complete,17, heimdall, 13, 1, 65, 60,13
as1core1:GigabitEthernet1/0, complete,17, heimdall_end_nodes, 13, 1, 65, 60,13
as1core1:GigabitEthernet1/0, complete,17, heimdall_interface, 37, 0, 36, 35,36
as1core1:GigabitEthernet1/0, complete,17, heimdall_intersect, 4, 0, 20, 32,4
as1core1:GigabitEthernet1/0, complete,17, heimdall_intersect2, 13, 1, 65, 60,13
as1core1:GigabitEthernet1/0, complete,17, heimdall_intersect3, 8, 0, 39, 42,8
as1core1:GigabitEthernet1/0, complete,17, heimdall_intersect4, 13, 1, 65, 60,13
as1core1:GigabitEthernet1/0, complete,17, neighbor, 9, 1, 47, 55,9
as1core1:GigabitEthernet1/0, random-2,2, base, 13, 1, 65, 60,13
as1core1:GigabitEthernet1/0, random-2,2, crystal-net, 2, 0, 9, 15,2
as1core1:GigabitEthernet1/0, random-2,2, empty, 0, 0, 0, 0,0
as1core1:GigabitEthernet1/0, random-2,2, heimdall, 11, 1, 56, 55,11
as1core1:GigabitEthernet1/0, random-2,2, heimdall_end_nodes, 6, 1, 29, 35,6
as1core1:GigabitEthernet1/0, random-2,2, heimdall_interface, 26, 0, 25, 35,25
as1core1:GigabitEthernet1/0, random-2,2, heimdall_intersect, 6, 1, 29, 35,6
as1core1:GigabitEthernet1/0, random-2,2, heimdall_intersect2, 6, 1, 29, 35,6
as1core1:GigabitEthernet1/0, random-2,2, neighbor, 2, 0, 9, 15,2
as1core1:Loopback0, complete,3, base, 13, 1, 65, 64,13
as1core1:Loopback0, complete,3, crystal-net, 4, 1, 17, 21,4
as1core1:Loopback0, complete,3, empty, 0, 0, 0, 0,0
as1core1:Loopback0, complete,3, heimdall, 13, 1, 65, 64,13
as1core1:Loopback0, complete,3, heimdall_end_nodes, 8, 1, 38, 44,8
as1core1:Loopback0, complete,3, heimdall_interface, 30, 0, 29, 39,29
as1core1:Loopback0, complete,3, heimdall_intersect, 8, 1, 38, 44,8
as1core1:Loopback0, complete,3, heimdall_intersect2, 8, 1, 38, 44,8
as1core1:Loopback0, complete,3, heimdall_intersect3, 8, 1, 38, 44,8
as1core1:Loopback0, complete,3, heimdall_intersect4, 8, 1, 38, 44,8
as1core1:Loopback0, complete,3, neighbor, 3, 1, 13, 19,3
as1core1:Loopback0, random-2,2, base, 13, 1, 65, 64,13
as1core1:Loopback0, random-2,2, crystal-net, 2, 0, 9, 18,2
as1core1:Loopback0, random-2,2, empty, 0, 0, 0, 0,0
as1core1:Loopback0, random-2,2, heimdall, 13, 1, 65, 64,13
as1core1:Loopback0, random-2,2, heimdall_end_nodes, 8, 1, 38, 44,8
as1core1:Loopback0, random-2,2, heimdall_interface, 30, 0, 29, 39,29
as1core1:Loopback0, random-2,2, heimdall_intersect, 8, 1, 38, 44,8
as1core1:Loopback0, random-2,2, heimdall_intersect2, 8, 1, 38, 44,8
as1core1:Loopback0, random-2,2, neighbor, 2, 0, 9, 18,2
as2border1:GigabitEthernet0/0, complete,15, base, 13, 1, 65, 68,13
as2border1:GigabitEthernet0/0, complete,15, crystal-net, 11, 1, 55, 66,11
as2border1:GigabitEthernet0/0, complete,15, empty, 0, 0, 0, 0,0
as2border1:GigabitEthernet0/0, complete,15, heimdall, 13, 1, 65, 68,13
as2border1:GigabitEthernet0/0, complete,15, heimdall_end_nodes, 13, 1, 65, 68,13
as2border1:GigabitEthernet0/0, complete,15, heimdall_interface, 37, 0, 36, 43,36
as2border1:GigabitEthernet0/0, complete,15, heimdall_intersect, 4, 0, 20, 32,4
as2border1:GigabitEthernet0/0, complete,15, heimdall_intersect2, 13, 1, 65, 68,13
as2border1:GigabitEthernet0/0, complete,15, heimdall_intersect3, 6, 0, 30, 42,6
as2border1:GigabitEthernet0/0, complete,15, heimdall_intersect4, 10, 1, 52, 57,10
as2border1:GigabitEthernet0/0, complete,15, neighbor, 8, 0, 41, 61,8
as2border1:GigabitEthernet0/0, random-2,2, base, 13, 1, 65, 68,13
as2border1:GigabitEthernet0/0, random-2,2, crystal-net, 2, 0, 9, 23,2
as2border1:GigabitEthernet0/0, random-2,2, empty, 0, 0, 0, 0,0
as2border1:GigabitEthernet0/0, random-2,2, heimdall, 12, 0, 60, 63,12
as2border1:GigabitEthernet0/0, random-2,2, heimdall_end_nodes, 7, 0, 33, 43,7
as2border1:GigabitEthernet0/0, random-2,2, heimdall_interface, 28, 0, 27, 43,27
as2border1:GigabitEthernet0/0, random-2,2, heimdall_intersect, 7, 0, 33, 43,7
as2border1:GigabitEthernet0/0, random-2,2, heimdall_intersect2, 7, 0, 33, 43,7
as2border1:GigabitEthernet0/0, random-2,2, neighbor, 2, 0, 9, 23,2
as2border1:GigabitEthernet1/0, complete,15, base, 13, 1, 65, 60,13
as2border1:GigabitEthernet1/0, complete,15, crystal-net, 11, 1, 55, 58,11
as2border1:GigabitEthernet1/0, complete,15, empty, 0, 0, 0, 0,0
as2border1:GigabitEthernet1/0, complete,15, heimdall, 13, 1, 65, 60,13
as2border1:GigabitEthernet1/0, complete,15, heimdall_end_nodes, 13, 1, 65, 60,13
as2border1:GigabitEthernet1/0, complete,15, heimdall_interface, 36, 0, 35, 44,35
as2border1:GigabitEthernet1/0, complete,15, heimdall_intersect, 3, 0, 14, 16,3
as2border1:GigabitEthernet1/0, complete,15, heimdall_intersect2, 13, 1, 65, 60,13
as2border1:GigabitEthernet1/0, complete,15, heimdall_intersect3, 7, 1, 35, 41,7
as2border1:GigabitEthernet1/0, complete,15, heimdall_intersect4, 10, 1, 52, 49,10
as2border1:GigabitEthernet1/0, complete,15, neighbor, 8, 0, 41, 58,8
as2border1:GigabitEthernet1/0, random-2,2, base, 13, 1, 65, 60,13
as2border1:GigabitEthernet1/0, random-2,2, crystal-net, 2, 0, 9, 17,2
as2border1:GigabitEthernet1/0, random-2,2, empty, 0, 0, 0, 0,0
as2border1:GigabitEthernet1/0, random-2,2, heimdall, 7, 1, 32, 36,7
as2border1:GigabitEthernet1/0, random-2,2, heimdall_end_nodes, 7, 1, 32, 36,7
as2border1:GigabitEthernet1/0, random-2,2, heimdall_interface, 13, 0, 13, 25,13
as2border1:GigabitEthernet1/0, random-2,2, heimdall_intersect, 7, 1, 32, 36,7
as2border1:GigabitEthernet1/0, random-2,2, heimdall_intersect2, 7, 1, 32, 36,7
as2border1:GigabitEthernet1/0, random-2,2, neighbor, 2, 0, 9, 17,2
as2border1:GigabitEthernet2/0, complete,6, base, 13, 1, 65, 70,13
as2border1:GigabitEthernet2/0, complete,6, crystal-net, 7, 1, 38, 53,7
as2border1:GigabitEthernet2/0, complete,6, empty, 0, 0, 0, 0,0
as2border1:GigabitEthernet2/0, complete,6, heimdall, 13, 1, 65, 70,13
as2border1:GigabitEthernet2/0, complete,6, heimdall_end_nodes, 13, 1, 65, 70,13
as2border1:GigabitEthernet2/0, complete,6, heimdall_interface, 33, 0, 32, 54,32
